   123;"≤ForcePasswordChangeScreen_alertMsg_TooFewDigitsError≥"
   124;"≤ForcePasswordChangeScreen_alertMsg_TooFewLowercaseCharactersError≥"
   125;"≤ForcePasswordChangeScreen_alertMsg_TooFewSpecialCharactersError≥"
   126;"≤ForcePasswordChangeScreen_alertMsg_TooFewUppercaseCharactersError≥"
   127;"≤ForcePasswordChangeScreen_alertMsg_TooMuchDigitsError≥"
   128;"≤ForcePasswordChangeScreen_alertMsg_TooMuchLowercaseCharactersError≥"
   129;"≤ForcePasswordChangeScreen_alertMsg_TooMuchSpecialCharactersError≥"
   130;"≤ForcePasswordChangeScreen_alertMsg_TooMuchUppercaseCharactersError≥"
   131;"≤ForcePasswordChangeScreen_alertMsg_NotAcceptableCharactersError≥"
   132;"≤ForcePasswordChangeScreen_label_PasswordViolations≥"
   133;"≤ForcePasswordChangeScreen_alertMsg_PaswordChangeSuccess≥"
   134;"≤DashboardScreen_title≥"
   135;"≤DashboardScreen_label_LetterIndex≥"
   136;"≤DashboardScreen_label_MeetingDetails≥"
   137;"≤DashboardScreen_label_AddCall≥"
   138;"≤DashboardScreen_confirmMsg_DeleteActivity≥"
   139;"≤DashboardScreen_alertTitle_RemoteCall≥"
   140;"≤DashboardScreen_errorTitle_RemoteCall≥"
   141;"≤DashboardScreen_alertMsg_RemoteCallSendSuccess≥"
   142;"≤DashboardScreen_alertMsg_RemoteCallSendMissingContentError≥"
   143;"≤DashboardScreen_alertMsg_RemoteCallSendMissingContactsError≥"
   144;"≤DashboardScreen_alertMsg_RemoteCallSendTooManyAccountsError≥"
   145;"≤DashboardScreen_alertMsg_RemoteCallSendInvalidContentTypeError≥"
   146;"≤DashboardScreen_alertMsg_RemoteCallSendFailureTitle≥"
   147;"≤DashboardScreen_alertMsg_RemoteCallSendFailure≥"
   148;"≤DashboardScreen_alertMsg_RemoteCallSendFailureMissingChannel≥"
   149;"≤DashboardScreen_alertMsg_RemoteCallSendFailureOffline≥"
   150;"≤DashboardScreen_alertMsg_CallRequirementsNotMet≥"
   151;"DashbordView_RemoteCall_ContentHasNoRemoteTag"
   152;"DashboardView_RemoteCall_InvalidData"
   153;"DashboardView_RemoteCall_AccountsForbidden"
   154;"DashboardView_RemoteCall_NoContactAccess"
   155;"DashboardView_RemoteCall_NoContentAccess"
   156;"DashboardView_RemoteCall_InconsitentContacts"
   157;"DashboardView_RemoteCall_InconsitentContent"
   158;"DashboardView_RemoteCall_ContentNotBroadcasted"
   159;"DashboardView_RemoteCall_InvalidContentType"
   160;"DashboardView_RemoteCall_UpdateError"
   161;"DashboardView_RemoteCall_PdfVersionNotAvailable"
   162;"≤RemoteCall_alertMsg_DeleteFailure≥"
   163;"≤RemoteCall_alertMsg_UpdateFailure≥"
   164;"≤RemoteCall_alertMsg_UpdatedWithServerVersion≥"
   165;"≤RemoteCall_alertMsg_InvitationSendFailure≥"
   166;"≤CallsScreen_title≥"
   167;"≤Week %d : %@ - %@≥"
   168;"≤ContentScreen_title≥"
   169;"engager_content_download_offline_error_message"
   170;"IsOnMobileNetwork"
   171;"UserDataSynchronizationCancelledMobileConnection"
   172;"≤ContactsScreen_title≥"
   173;"≤AccountsScreen_title≥"
   174;"≤RevealerScreen_title≥"
   175;"≤SettingsScreen_title≥"
   176;"≤SettingsScreen_Support≥"
   177;"≤SettingsScreen_Support_modalTitle_Info≥"
   178;"≤SettingsScreen_Support_label_PhoneNumber≥"
   179;"≤SettingsScreen_Support_label_EmailAddress≥"
   180;"≤SettingsScreen_Support_label_AdditionalInfo≥"
   181;"≤SettingsScreen_Manual≥"
   182;"≤SettingsScreen_Manual_Download_Error≥"
   183;"≤SettingsScreen_Manual_NotAvailable≥"
   184;"≤SettingsScreen_Session≥"
   185;"≤SettingsScreen_Session_SignOut≥"
   186;"≤SettingsScreen_Session_confirmationMsg_SignOut≥"
   187;"≤SettingsScreen_General≥"
   188;"≤SettingsScreen_General_ResetData≥"
   189;"≤SettingsScreen_General_ResetData_confirmationMsg_Reset≥"
   190;"≤SettingsScreen_Backup≥"
   191;"≤SettingsScreen_Backup_SaveBackup≥"
   192;"≤SettingsScreen_Backup_SaveBackup_promptMsg_BackupName≥"
   193;"≤SettingsScreen_Backup_SaveBackup_alertMsg_EmptyName≥"
   194;"≤SettingsScreen_Backup_SaveBackupError_UploadError≥"
   195;"≤SettingsScreen_Backup_RestoreBackup≥"
   196;"≤SettingsScreen_Backup_RestoreBackup_confirmationMsg_Restore≥"
   197;"≤SettingsScreen_About≥"
   198;"≤SettingsScreen_About_OrganizationName≥"
   199;"≤SettingsScreen_About_Username≥"
   200;"≤SettingsScreen_About_Engager≥"
   201;"≤SettingsScreen_About_iOS≥"
   202;"SettingsScreen_Sync_Label"
   203;"SettingsScreen_Sync_NextSyncDate_Label"
   204;"SettingsScreen_Sync_LastSyncDate_Label"
   205;"SettingsScreen_Sync_LastSyncStatus_Label"
   206;"SettingsScreen_Sync_LastSyncStatus_SyncFailed"
   207;"SettingsScreen_Sync_LastSyncStatus_UpToDate"
   208;"SettingsScreen_Sync_LastSyncStatus_InProgress"
   209;"SettingsScreen_Sync_LastSyncStatus_UpdatedFormat"
   210;"SettingsScreen_Sync_LastSyncStatus_ContentAssetsAvailableFormat"
   211;"SettingsScreen_Sync_LastSyncStatus_UpdatedItem_Contacts"
   212;"SettingsScreen_Sync_LastSyncStatus_UpdatedItem_Accounts"
   213;"SettingsScreen_Sync_LastSyncStatus_UpdatedItem_Calls"
   214;"≤CallDetailsScreen_title≥"
   215;"≤CallFieldsScreen_title≥"
   216;"≤CallDetailsSegmented_title≥"
   217;"≤CallFieldsSegmented_title≥"
   218;"≤CallDetailsScreen_RemoteCallInvitations_SwitchLabel≥"
   219;"≤Title≥"
   220;"≤Description≥"
   221;"≤Location≥"
   222;"≤Objective≥"
   223;"≤Notes≥"
   224;"≤engager_callStartNotification_future_alertMessageFormat≥"
   225;"≤engager_callStartNotification_now_alertMessage≥"
   226;"≤Loading list of files≥"
   227;"≤Downloading≥"
   228;"≤Download cancelled≥"
   229;"≤Download complete≥"
   230;"≤Download stopped≥"
   231;"≤Updating≥"
   232;"≤Sync started...≥"
   233;"≤Stopping...≥"
   234;"≤Finished≥"
   235;"≤LaunchpadScreen_title≥"
   236;"≤LaunchpadScreen_EditContents_title≥"
   237;"≤SessionsScreen_title≥"
   238;"≤FiltersScreen_confirmMsg_WorkspaceOverwrite≥"
   239;"≤FiltersScreen_confirmMsg_Reset≥"
   240;"≤Filter name≥"
   241;"≤This name already exists≥"
   242;"≤Unsaved≥"
   243;"≤FiltersScreen_placeholder_FilterName≥"
   244;"≤Permissions_alertTitle_PermissionsChange≥"
   245;"≤Permissions_alertMsg_PermissionsChange≥"
   246;"engager_global_cancel"
   247;"engager_global_close"
   248;"engager_global_ok"
   249;"offline_mode_alert_title"
   250;"offline_mode_alert_message"
   251;"dashboard_brokenData_alertTitle"
   252;"dashboard_brokenData_alertMessage"
